Würden Sie Ihr Unternehmen eher als Mittelständler oder Großkonzern bezeichnen? (Bitte ankreuzen.),Wie viele Mitarbeiter zählt Ihr Unternehmen? (Bitte eintragen.),“Ich persönlich habe viel Erfahrung im Thema Zusammenarbeit zwischen etablierten Unternehmen und Startups.” ,“Das Thema Zusammenarbeit mit Startups hat für mein Unternehmen eine große strategische Relevanz und Bedeutung.“,“Der Stellenwert und die Bedeutung des Themas Zusammenarbeit mit Startups wird sich für mein Unternehmen in den nächsten Jahren erhöhen.” ,“Die bisherigen Aktivitäten meines Unternehmens in der Zusammenarbeit mit Startups bewerte ich als erfolgreich.”,“Das bisherige Engagement meines Unternehmens in der Zusammenarbeit mit Startups hat sich in finanzieller und wirtschaftlicher Hinsicht ausgezahlt.” ,“Die Zusammenarbeit mit Startups bietet großes Potential für ein Unternehmen meiner Größe.”,“Die -Learn-Phase ist für mein Unternehmen in der Zusammenarbeit mit Startups eine große Herausforderung.”,“Die -Match-Phase ist für mein Unternehmen in der Zusammenarbeit mit Startups eine große Herausforderung.”,Die -Partner-Phase ist für mein Unternehmen in der Zusammenarbeit mit Startups eine große Herausforderung.,"Startup Events (Wettbewerbe, Camps, Hackathons etc.)",Startup Scouting & Matching durch Dritte (Intermediäre),Mentoring & sonstige Service-Dienstleistungen,Kostenlose oder stark vergünstigte Produkte werden z. V. gestellt,Acceleratoren,Inkubatoren,Company Builder,Co-Working Spaces,Innovation Labs,Kunden-/Lieferanten Beziehungen,Gemeinsame Produktentwicklung & Innovationen,Lizenzierung,Joint Ventures,Strategische Allianzen,Corporate Venturing,Frühphasen Investitionen,Spätphasen Investitionen,Akquisitionen,Fusionen,Sonstiges,Welches der zuvor genannten Kooperationsmodelle wird Ihrer Meinung zukünftig an Bedeutung gewinnen und warum? (Bitte ausfüllen.),Innovationskraft stärken,Kulturellen Wandel unterstützen ,Digitalisierungsgrad erhöhen ,(Neue) Geschäftsmodelle entwickeln ,(Neue) Märkte / Kunden erschließen,Zugang zu neuen Technologien,Sonstiges,Worin sehen Sie für Ihr Unternehmen die drei größten Chancen um mit Startups zusammenzuarbeiten? (Bitte ausfüllen und Aufzählung absteigend nach Relevanz ordnen.),Interessante Startups zu identifizieren,Interessante Startups anzusprechen ,Eigenes Angebot an interessante Startups zu vermarkten,"Verträge zu gestalten (u.a. Patente, Urheberrechte) ",Kulturelle und organisationale Unterschiede zu meistern,Gemeinsame Mission & Ziele zu schaffen,Vertrauen & Verbindlichkeit herzustellen,"Operative, interne Herausforderungen zu meistern",Interne Erwartungen und Risiken richtig zu managen,Sonstiges,Ist schon mal eine Kooperation zwischen Ihrem Unternehmen und einem Startup aus Ihrer Sicht gescheitert? (Bitte ankreuzen.),"Wenn ja, warum? (Bitte ausfüllen.)","Welche der drei Phasen Learn, Match und Partner bereitet Ihnen und Ihrem Unternehmen die größten Schwierigkeiten? (Bitte ankreuzen.)",Welche drei “Dos” in der Zusammenarbeit mit Startups können Sie anderen Personen weitergeben? (Bitte ausfüllen.),Welche drei “Dont`s” in der Zusammenarbeit mit Startups können Sie anderen Personen weitergeben? (Bitte ausfüllen.),Warum gehen mittelständische Unternehmen aus Ihrer Sicht aktuell seltener Kooperationen mit Startups als Großkonzerne ein? (Bitte ausfüllen.),Welche Art von Unterstützung wünschen Sie sich sich von der Politik im Hinblick auf das Thema? (Bitte ausfüllen.),Welche Art von Unterstützung wünschen Sie sich von der Wissenschaft und Forschung im Hinblick auf das Thema? (Bitte ausfüllen.),Wären Sie bereit Ihre Zusammenarbeit mit einem Startup in Form eines kurzen Fallbeispiel in unserer Studie zu veröffentlichen? (Bitte ankreuzen.)
Mittelstand,1000,5,5,5,5,4,5,3,4,,"Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt","Positiv, Wird von uns genutzt",,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt","Positiv, Wird von uns genutzt",,,"Positiv, Wird von uns genutzt",,,,,,,Partnerschaft auf Augenhöhe - gemeinsam wachsen,5,4,6,6,5,6,,"1. Digitalisierung 
2. Neue Geschäftsmodelle
3. Zugang zu neuen Technologien",2,2,4,4,5,4,2,6,5,,Nein,,Match,"1. start small but start zB über Piloten
2. Auf Augenhöhe sprechen
3. Sich in den Anderen (Startup/Corporate) rein denken","1. Es nicht um das Knie brechen, sich Zeit nehmen","- Digitale Transformation managen - Kundenfokus aufnehmen 
- Geschwindigkeit aufnehmen
- Innovaitonskraft stärken",Raum für Innovation schaffen,"- wissenschaftliche Begleitung
- Know How Transfer",Ja
Mittelstand,80,1,1,5,2,2,4,4,5,5,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",,,,,,,,,,,,,,,,,,Partnerschaften und Investitionen /Akquisitionen weil der Mehrwert deutlich höher ist als bei den offenen Formen.,6,6,6,6,6,6,,"1. Gemeinsam neue Produkte entwickeln
2. Wahrnehmung im Markt als innovativ
3. Interne Digitalisierung vorantreiben",2,2,5,,3,5,5,5,5,,Nein,,Partner,"1. Lernwilligkeit der Kernorganisation
2. Viel Kommunikation über Ziele der Zusammenarbeit und Bedeutung für Kernorganisation
3. Kooperation als Trigger für die eigene Veränderung nutzen","1. Arroganz dem Startup gegenüber 
2. Mittleres Managegement ausklammern",personelle Ressourcen,,,
Großkonzern,10000,5,4,4,5,5,5,2,3,5,"Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt","Negativ, Wird von uns genutzt",Neutral,"Negativ, Wird von uns genutzt","Negativ, Wird von uns genutzt","Negativ, Wird von uns genutzt","Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt","Neutral, Wird von uns genutzt","Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt","Positiv, Wird von uns genutzt",Neutral,Negativ,Positiv,Positiv,Neutral,,"Spätphasen Investitionen - geringeres Risiko und Komplexität, dafür Preis-Premium",4,3,3,6,5,6,,"1. Neue Geschäftsmodelle
2. Neue Technologien
3. Neue Kundensegmente",1,1,1,6,2,5,5,6,5,,Ja,Änderung der Unternehmensstrategie während der Zusammenarbeit,Partner,"1. Transparenz
2. Realistische Ziele
3. Scheitern akzeptieren und eingestehen","1. Reine PR-Show
2. Namen hergeben ohne Gegenleistung
3. Objektivität verlieren","- zu stark im Daily Business gefangen
- begrenzte finanzielle Mittel (Stichwort Risiko)",- Regulatorische Anforderungen dem tatsächlichem Risiko anpassen,Diese Studie,Ja
Großkonzern,14000,4,4,5,4,4,5,4,4,4,,"Positiv, Wird von uns genutzt",,,,,,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",,,,,,,,,,,5,4,5,5,3,4,,,4,4,4,4,4,3,3,4,4,,Nein,,,,,,"""Leitfaden"" - Wie kooperiere ich richtig? (abhängig von Phase Learn, Match, Partner / Common Pitfalls etc. / Best Practice Beispiele)",Support bei der Erstellung des Leitfadens,
Großkonzern,8000,6,6,6,4,4,6,2,3,4,"Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt",Neutral,Neutral,"Positiv, Wird von uns genutzt",Neutral,Neutral,"Neutral, Wird von uns genutzt","Neutral, Wird von uns genutzt","Positiv, Wird von uns genutzt",Neutral,"Positiv, Wird von uns genutzt",Neutral,Neutral,Neutral,"Positiv, Wird von uns genutzt",Neutral,"Positiv, Wird von uns genutzt",,,Spin-offs,6,4,5,6,4,5,,"1. Geschäftsmodelle
2. Märkte
3. Kultureller Wandel",3,1,2,3,4,5,3,4,2,,Ja,Nicht erreichte Zielerreichung beider Seiten,Partner,1. Offene Diskussion der KPIS/Zielerreichung,1. Know it all - von beiden Seiten,"- weniger hyped als Corporates
- IPOs haben schlechten Ruf ",,,Ja
Mittelstand,1300,2,3,3,3,3,6,6,6,6,,,,,,,,,,,Neutral,,Negativ,,,Wird von uns genutzt,,Wird von uns genutzt,,,,5,,5,,6,5,,"1. Zugang zu neuen Technologien
2. Zugang zu neuen Märkten
3. Digitalisierungsgrad erhöhen",,,,,,,,,,,,,,"1. Von Anfang an klare gemeinsame Ziele definieren
2. Die richtigen Ansprechpartner im Unternehmen finden",,Mittelständische Unternehmen bleiben eher in ihrer eigenen Welt und suchen nach passenden Kooperationspartnern für ihre strategische Ausrichtung.,,,Nein
Großkonzern,8000,5,6,5,1,5,6,6,6,6,Neutral,Neutral,Positiv,Positiv,Neutral,Neutral,Positiv,Positiv,Positiv,Positiv,Positiv,Neutral,Neutral,Positiv,Neutral,Positiv,Neutral,Positiv,Negativ,,Akquisitionen - Panik der Großen,4,6,5,5,5,3,,"1. Frischzellen Kur
2. Innovation
3. Kulturwandel",5,6,5,5,5,6,,5,6,,Ja,"too small, Kulturen wurden nicht verein sondern übergestülpt",Learn,"1. Geduld
2. Offenheit
3. Freiräume für ""Keimzellen""","- Angst
- wirtschaftliche Hürden
- schlechte Erfolgs (...) aussichten?",,aufgegeben,Präsenz,Nein
Großkonzern,> 10.000,6,5,5,3,3,5,3,5,4,"Positiv, Wird von uns genutzt",,,"Neutral, Wird von uns genutzt",,"Neutral, Wird von uns genutzt","Neutral, Wird von uns genutzt",,"Neutral, Wird von uns genutzt","Positiv, Wird von uns genutzt",,,"Negativ, Wird von uns genutzt","Neutral, Wird von uns genutzt","Neutral, Wird von uns genutzt","Negativ, Wird von uns genutzt","Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt",,,"Die Frage kann man nur in Zusammenhang mit der Innovationsphase (früh bis spät) beantworten. Partnerschaften werden in ""later stage"" wichtiger",4,5,5,4,3,4,Wert schaffen/ROI (4),"1. Neue Technologien/Produkte entwickeln
2. Kulturellen Wandel erreichen
3. Wert schaffen (Umsatz steigern oder Kosten senken)",2,2,4,3,6,5,5,4,5,,Ja,Ziele der Kooperation werden nicht geteilt. Bewertung und Finanzierung.,Match,"1. Ideen austauschen/konsolidieren
2. Fehler zulassen (nicht immer die gleichen)
3. Raum für (unternehmerische) Entscheidungen lassen","1. Keine klaren Ziele (kurzfristig) vereinbaren
2. Nicht kommunizieren, fordern, kein Mentoring
3. Zu schnell aufgeben, nicht schnell genug aufgeben",Weiß ich nicht. Vielleicht weil sie nicht gefunden werden.,Innovationsraum (Hubraum etc.) schaffen,Beim Qualifizieren von Innovationen helfen.,Ja
Mittelstand,3500,6,6,5,5,5,6,3,5,3,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt",,,,,,,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",,"Positiv, Wird von uns genutzt",,"Neutral, Wird von uns genutzt",,,,,,5,2,2,4,4,5,,"1. Neue Business-Modelle
2. Neue Märkte
3. Neue Technologien",5,4,2,2,2,2,2,4,3,,Ja,,Match,,,Ressourcen,,,Ja
Mittelstand,1000,3,4,5,4,,4,4,4,4,Positiv,Neutral,,,Positiv,Neutral,Neutral,,,,,,,,,,,,,,,4,5,4,4,4,4,,"1. Innovation stärken
2. Neue Technologien/Geschäftsmodelle erschließen
3. Kulturellen Wandel verstärken",4,3,3,3,5,5,4,5,6,,,,Match,"1. schnelle Verprobung versuchen
2. Erwartungshaltung managen",,"- geringe finanzielle Kapazitäten
- Risikoaversion höher","- Finanzierungsmöglichkeiten stärken
- Standards vorantreiben",,
Großkonzern,25000,3,5,5,5,4,6,3,4,5,Wird von uns genutzt,Positiv,Wird von uns genutzt,Negativ,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,Neutral,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,Wird von uns genutzt,,"Frühphasen-Investitionen, da viel Potential in der Idee erstickt wird oder verschenkt",6,4,4,3,4,4,,"1. Innovationskraft stärken
2. Neue Märkte/Kunden
3. Neue Technologien",5,1,1,3,4,4,2,4,5,,Nein,,Match,"1. Rechte klar definieren
2. Transparenz
3. Erwartungsmanagement","1. Zu viel Ressourcen investieren die das Startup unverhältnismäßig ""pampern""",,,,Ja
"Mittelstand, Großkonzern",5,5,6,6,6,6,6,2,4,6,Positiv,Neutral,Positiv,Positiv,Positiv,Positiv,Neutral,Positiv,Positiv,Positiv,Neutral,,Neutral,Neutral,Negativ,Negativ,Positiv,Positiv,Neutral,,"Akquisitionen, M&A",6,6,6,3,5,6,,,5,1,,,,,,,,,Ja,,,"1. erst breit lernen
2. Entscheider gleich mit an den Tisch
3. Unbedingt die eigenen lang-mittel-kurzfristigen Ziele der Kooperation klären","1. Nicht lernen und umsetzen
2. kurze Zeit einplanen, C-Level muss (...) sein","- Geldmangel, Personalmangel
- sie sind fokussierter auf bestimmte Produkte/Services - branding ist das schwieriger","- keine Einmischung
- Förderungen Gründerteam und VC Invest (v.a. Risikokapital muss bereitgestellt werden, nicht sus Steuergeldern, aber Rahmenbedingungen für CP-Invest in VC verbessern)","Erfolgsmessung, Best Practices",
Mittelstand,10 Partner,5,6,6,4,3,4,5,4,4,Neutral,Positiv,Positiv,Neutral,,,,Positiv,Wird von uns genutzt,Positiv,Positiv,,,,,,,,,,Co-Working & Innovation Labs um Open Innovation systematischer zu ermöglichen.,6,5,4,5,5,5,,"1. Netzwerk entwickeln um Open Innovation qualitativ zu unterstützen
2. Inspiration für neue Technologien & Produkte/Services
3. Interessante Kandidaten für unser Beraternetzwerk entdecken",4,4,,,6,6,6,,,,Nein,,,"1. 7 Leitlinien aus der Studie ""Building the Bridge: Bereit für die 2. Welle der Innovation""",,Spekulation: Geschlossenerer Umgang mit Innovation,Innovation im Mittelstand - Fokus Digitale Transformation adressieren,Praktischer Leitfaden,Ja
Mittelstand,1000,4,5,6,3,3,6,4,5,2,Positiv,Positiv,Neutral,Wird von uns genutzt,Positiv,Positiv,Neutral,,Positiv,Wird von uns genutzt,Wird von uns genutzt,Neutral,Neutral,Wird von uns genutzt,,Positiv,,Wird von uns genutzt,,,Frühphasen-Invesitionen aufgrund immer schnellerer Produktentwicklungszyklen am Kunden (schnelle Verprobung in Sprint-Formaten),6,4,3,5,3,4,,"1. Innovation und Ideenfindung überhaupt erst ermöglichen
2. Sichtbarkeit des eigenen Unternehmens erhöhen - verstaubtes Image ablegen und auch mit ""100"" noch modern und innovativ wirken
3. Geschäftsbestand sichern",3,3,3,3,4,5,3,4,5,,Ja,- fehlendes Vertriebsmodell für die Lösung des Startups,Match,,1. Starre Arbeitsteilung ohne zusammen zu arbeiten,- finanzielles Risiko,- Fördertöpfe für Mittelständler (Investitionen erleichtern),"- weniger restriktive Handhabung geistigen ""Eigentums""",Nein
Großkonzern,50000,5,4,5,4,4,5,5,5,6,"Positiv, Wird von uns genutzt",Neutral,Neutral,Neutral,"Positiv, Wird von uns genutzt","Positiv, Wird von uns genutzt",Neutral,Neutral,Neutral,Neutral,"Neutral, Wird von uns genutzt","Neutral, Wird von uns genutzt",,,"Neutral, Wird von uns genutzt","Positiv, Wird von uns genutzt","Neutral, Wird von uns genutzt",,,,Company Building: Anwendung der positiven Learnings aus Kooperation auf interne Ideen,5,5,5,6,4,4,,"1. Geschwindigkeit erhöhen
2. Disruption erkennen
3. Tunnelblick verringern",3,2,2,5,4,2,2,4,4,,Ja,unterschiedliche Zielsetzung & Geschwindigkeit,Partner,"1. Sei transparent in Erwartungshaltung
2. Agiere auf Augenhöhe
3. Fokus auf Execution","1. Nicht versprechen, sondern halten
2. No Marketing, Action is King",- mangels definiertet Ansprechpartner und Zeit,Matchmaking-Plattform bieten,Theorie und Wissenschaft zeigt praktische Anwendung für Corp.,Ja
Mittelstand,> 1.300,2,4,5,3,2,4,4,4,5,,,,,,,,,,Wird von uns genutzt,Wird von uns genutzt,,Wird von uns genutzt,Wird von uns genutzt,,,,Wird von uns genutzt,,Kooperation Uni/Forschungsinstitut (Positiv),,5,5,5,5,2,5,,"1. Kultureller Wandel/Methoden
2. neue Technologien/Geschäftsfelder
3. Wachstum in für uns neuen Märkten (geografisch)",5,4,3,4,5,4,5,5,6,,Ja,"- Erwartungshaltung
- Zuverlässigkeit bzw. Sprunghaftigkeit",,,,sehe ich nicht,,"- offener Umgang mi IP
- Drittmittelzwang und Verwehrung von Patenten (?) als Hürde",Nein
