Medium/ AutorInnen,Veröff.,Art der Quelle,Titel Link der Quelle,Kernaussagen,Zugriff
Accenture,2016,Bericht,[Data: The Fuel of the Digital Economy and SME Growth ](https://www.accenture.com/_acnmedia/PDF-29/Accenture-Data-The-Fuel-Of-The-Digital-Economy-And-SME-Growth.pdf),Beschäftigt sich mit der Rolle von datengetriebenen Geschäftsmodellen im Mittelstand. Außerdem werden Policy-Voraussetzungen formuliert.,07.04.20
Accenture,2016,Bericht,"[Five ways to win with digital platforms Many new platforms will fail, but small businesses and traditional incumbents can succeed by taking five steps ](https://www.accenture.com/_acnmedia/PDF-29/Accenture-Five-Ways-To-Win-With-Digital-Platforms-Full-Report.pdf)",Identifiziert fünf Schritte mit denen kleine und traditionelle Unternehmen mit Plattformen erfolgreich sein können.,07.04.20
Accenture,2016,Artikel,[Platform economy: Driven by real-time processing ](https://www.accenture.com/us-en/blogs/blogs-platform-economy),Betont die Relevanz von Plattformen für die Innovationskraft der Wirtschaft.,07.04.20
BCG,2018,Artikel,[How IoT Data Ecosystems Will Transform B2B Competition ](https://www.bcg.com/de-de/publications/2018/how-internet-of-things-iot-data-ecosystems-transform-b2b-competition.aspx),"Fokus liegt hier auf der Rolle von Daten Ökosystemen, die dem B2B-Bereich verhelfen können ein neues vielversprechendes Business zu werden.",07.04.20
BDI,2020,Bericht,[Deutsche Digitale Plattformen - Auf Deutschlands industrieller Stärke aufbauen. Ein Ökosystem für B2B-Plattformen fördern. ](https://bdi.eu/artikel/news/deutsche-digitale-b2b-plattformen/),Führt die bisherige Vorstellung dt. Industrieplattformen des BDI von 2019 fort.,23.06.20
BDI,2019,Bericht,[Deutsche digitale B2B Plattformen ](https://bdi.eu/artikel/news/deutsche-digitale-b2b-plattformen/),Vorstellung von 41 dt. digitalen B2B-Plattformen. Definitionen von digitalen Plattformen und Zahlen zur Nutzung von digitalen Plattformen.,07.04.20
BDI,2019,Artikel,[Die zweite Plattformrevolution digitale B2B Plattformen made in Germany ](https://bdi.eu/artikel/news/die-zweite-plattformrevolution-digitale-b2b-plattformen-made-in-germany/),Nimmt ein Clustering verschiedener Plattformbereiche vor.,07.04.20
Bitkom,2020,Bericht,"[Digitale Plattformen, Chartbericht 2020 ](https://www.bitkom.org/sites/default/files/2020-02/bitkom_digitaleplattformen_2020.pdf)",Arbeitet die Unterschiede zwischen verschiedenen Plattformmodellen heraus & betont die Bedeutsamkeit unterschiedlicher Regulierungs-maßnahmen für die jeweiligen Modelle.,07.04.20
Bitkom,2019,Posi tionspapier,[Eckpunkte für eine souveräne Cloudund Dateninfrastruktur in Deutschland und Europa ](https://www.bitkom.org/sites/default/files/2019-10/20191022-bitkom_eckpunkte_souverane-cloudinfrastruktur_final.pdf),Fokussiert sich auf die Voraussetzungen für eine europäische Cloud- & Dateninfrastruktur. Im Vordergrund der Diskussion um solche Dateninfrastrukturen steht GAIA-X.,07.04.20
Bitkom,2018,Positionspapier,[Digitale Plattformen und ERP ](https://www.bitkom.org/sites/default/files/file/import/180419-PP-Digitale-Plattformen-und-ERP.pdf),Beleuchtet den Zusammenhang zwischen ERP & Plattformen und welchen Rolle ERP künftig im Rahmen von Plattformen haben werden.,07.04.20
Bitkom,2018,Bericht,[IoT-Plattformen aktuelle Trends und Herausforderungen Handlungsempfehlungen auf Basis der Bitkom Umfrage 2018 - Faktenpapier ](https://www.bitkom.org/sites/default/files/file/import/180424-LF-IoT-Plattformen-online.pdf),Konzentriert sich auf die steigende Relevanz von IoT-Plattformen & den damit einhergehenden Handlungsfeldern. IoT-Plattformen werden als unabdingbar für die deutsche Wirtschaft definiert.,07.04.20
Bitkom,2017,Stellungnahme,"[Digitale Mobilitätsplattformen – Untersuchungen, Meinungsbilder und Reformvorschläge ](https://www.bitkom.org/sites/default/files/file/import/FirstSpirit-1493102317396Stellungnahme-Mobility-Plattformen-180417.pdf)","Setzt den Fokus auf den Bedarf von Mobilitätsplattformen. Der Bedarf wird sowohl für die AnbieterInnen, sowie NutzerInnen dargestellt.",07.04.2020
BMF,2016,Bericht,[Fintech-Markt in Deutschland ](https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Internationales_Finanzmarkt/2016-11-21-Gutachten-Langfassung.pdf?__blob=publicationFile&v=3),Stellt die Entwicklung und den Status Quo des dt. Fintech-Marktes dar und gibt Ausblicke in die Zukunft dt. Fintech-Entwicklungen.,07.04.20
BMWi,2019,Bericht,[Schlaglichter der Wirtschaftspolitik - Monatsbericht Dezember 2019 ](https://www.mittelstand-digital.de/MD/Redaktion/DE/Publikationen/Schlaglichter/schlaglichter_der_wirtschaftspolitik_dezember_2019.pdf?__blob=publicationFile&v=3),Gibt einen Überblick über die wirtschaftl. Lage in DE & die weltweite Wirtschaft.,07.04.20
BMWi,2017,Weissbuch,[Weissbuch Digitale Plattformen ](https://www.bmwi.de/Redaktion/DE/Publikationen/Digitale-Welt/weissbuch-digitale-plattformen.pdf?__blob=publicationFile&v=24),Betont die bisher ungewisse Entwicklung von B2B-Plattformen & stellt unter anderem die Wichtigkeit von Netzwerkeffekten & die flächendeckende Digitalisierung dt. Unternehmen heraus.,07.04.20
BMWi - Kommission Wettbewerb 4.0,2019,Bericht,[Ein neuer Wettbewerbsrahmen für die Digitalwirtschaft ](https://www.bmwi.de/Redaktion/DE/Publikationen/Wirtschaft/bericht-der-kommission-wettbewerbsrecht-4-0.pdf?__blob=publicationFile&v=12),Im Rahmen der Kommission Wettbewerbsrecht 4.0 werden hier besonders der Aspekt der Plattformregulierung und die Relevanz von Datenzugang thematisiert.,07.04.20
BMWi - Mittelstand Digital,2019,Magazin,[Vernetzte Wertschöpfung - Mittelstand Digital Magazin Ausgabe 12 ](https://www.mittelstand-digital.de/MD/Redaktion/DE/Publikationen/Wissenschaft-trifft-Praxis/magazin-wissenschaft-trifft-praxis-ausgabe-12.pdf?__blob=publicationFile&v=6),"Beantwortet Fragen im Kontext von Mittelstand & Blockchain, Plattformisierung & Wertschöpfungsnetzwerken.",07.04.20
BMWi - Mittelstand Digital,2019,Themenheft,[Vernetzte Wertschöpfung - Themenheft Mittelstand-Digital ](https://www.mittelstand-digital.de/MD/Redaktion/DE/Publikationen/Themenheft/themenheft-vernetzte-wertschoepfung.pdf?__blob=publicationFile&v=5),Fokussiert sich auf die Rolle von Wertschöpfung im Mittelstand & stellt die Rolle von Standards heraus.,07.04.20
BMWi - Mittelstand Digital,2019,Studie,"[Digitale Plattformen als Chance für den Mittelstand - Relevanz, Anwendungen, Transfer ](https://www.mittelstand-digital.de/MD/Redaktion/DE/Publikationen/digitale-plattformen-als-chance.pdf?__blob=publicationFile&v=4)",Unterstreicht die Chancen von KMU durch digitale Plattformen & identifiziert welche Anwendungsbereiche für KMU geeignet sind.,07.04.20
BMWi - Plattform Industrie 4.0,2019,Bericht,[Die volkswirtschaftliche Bedeutung von digitalen B2B-Plattformen im Verarbeitenden Gewerbe ](https://www.plattform-i40.de/PI40/Redaktion/DE/Downloads/Publikation/Bedeutung-B2B-Plattformen.html),Unterscheidung zw. Transaktionsplattfomen & IoT-Serviceplattformen in der Industrie; Innovationsund Dienstleistungs-Neigung für digitale B2B-Plattformen. Gesamtwirtschaftliche Perspektive digitaler B2B-Plattformen: Bedeutung für die Bruttowertschöpfung und Fazit zur gesamtwirtschaftlichen Betrachtung.,07.04.2020
BMWi - Plattform Industrie 4.0,2019,Bericht,[Digitale Geschäftsmodelle für die Industrie 4.0 ](https://www.plattform-i40.de/PI40/Redaktion/DE/Downloads/Publikation/digitale-geschaeftsmodelle-fuer-industrie-40.html),Betont die Stärke der dt. Industrie 4.0 & identifiziert Geschäftsmodelle für die zukünftige Industrie 4.0 & formuliert Empfehlungen für die Zukunft.,07.04.20
Bundeskartellamt,2016,Arbeitspapier,[Marktmacht von Plattformen und Netzwerken ](https://www.bundeskartellamt.de/SharedDocs/Publikation/DE/Berichte/Think-Tank-Bericht.pdf?__blob=publicationFile&v=2),Fokussiert sich auf den Einfluss von Plattformen & Netzwerken auf die Wettbewerbspolitik.,07.04.20
B20,2017,Artikel,"[""SMEs as a Platform for inclusive economies"" by Ece Idil Kasap, director of online solutions at the world SME forum. ](https://www.b20germany.org/priorities/smes/smes-dossier/smes-article/news/smes-as-a-platform-for-inclusive-economies-by-ece-idil-kasap-director-of-online-solutions-at-the/)",Fokussiert sich besonders auf die Hindernisse von SMEs im Kontext von Wirtschaftswachstum & neuen Technologien.,07.04.20
B20 (G20),2017,Bericht,Fact sheet B20 (G20 summit 2017 - Germany) http://www.worldsmeforum.org/wp-content/uploads/2016/12/2016-30-11_B20-Factsheets_all.pdf,"Fast die Arbeit der B20, in ihren verschiedenen Arbeitsgruppen zusammen. Innerhalb derer sie sich u.a.mit den Entwicklungen des digitalen Handels & SMEs beschäftigen.",07.04.20
CIO IDG Business Media,2020,Artikel,"[Einheitliche Plattform - Lufthansa bündelt Systeme in der Google-Cloud ](https://www.cio.de/a/lufthansa-buendelt-systeme-in-der-google-cloud),3626318",Beschreibt die Entstehung der Lufthansa Google Cloud & deren Funktionen.,07.04.20
Deloitte,2019,Bericht,[Wie mittelständische Unternehmen von neuen Business-Ökosystemen und digitalen Plattformen profitieren können ](https://www.deloitte-mail.de/custloads/141631293/md_1569292.pdf?sc_src=email_3518694&sc_lid=141863811&sc_uid=4oGQcTlVth&sc_llid=357),Macht die Spannungsfelder & Hindernisse des Mittelstandes in Bezug auf Plattformisierung deutlich.,07.04.2020
Deloitte,2019,Artikel,[Digitale Strategien im Mittelstand: Chancen und Heraus­forderungen ](https://www2.deloitte.com/de/de/pages/mittelstand/contents/digitale-strategien-mittelstand-oekosysteme-plattformen.html),Leitet in den dazugehörigen Bericht ein. Außerdem definiert er vier Rollen des Mittelstandes in Ökosystemen.,07.04.20
European Commission,2020,Bericht,[Towards a European strategy on business-to-government data sharing for the public interest ](https://www.euractiv.com/wp-content/uploads/sites/2/2020/02/B2GDataSharingExpertGroupReport-1.pdf),Thematisiert die Rolle von data sharing von Plattformen im Kontext von staatl. Institutionen.,07.04.20
FES,2019,Studie,Der Mittelstand in der Plattformökonomie - Mehr Fairness für KMU auf digitalen Märkten http://library.fes.de/pdf-files/wiso/15493.pdf,"Arbeitet die Chancen für KMU durch Plattformen heraus, gleichzeitig identifiziert sie aber fünf Problemfelder die sich durch Plattformen für KMU ergeben.",07.04.20
FES,2018,Studie,Plattformökonomie als Organisationsform zukünftiger Wertschöpfung - Chancen und Herausforderungen für den Standort Deutschland http://library.fes.de/pdf-files/wiso/14756.pdf,"Betont, dass der industrielle Zweig sich der Plattformwirtschaft nicht entziehen kann. Gleichzeitig aber auch, dass nicht jede Industrie gleichermaßen dafür geeignet ist.",07.04.20
FAZ,2020,Artikel,[Mittelstand verliert immer mehr an Innovationskraft ](https://www.faz.net/aktuell/wirtschaft/mittelstand/deutsche-wirtschaft-mittelstand-verliert-immer-mehr-an-innovation-16641742.html),Unterstreicht die Innovationsrückstände des dt. Mittelstandes bezogen auf das jährliche KfW Mittelstandspanel.,07.04.20
FT,2020,Artikel,[The Apple effect: Germany fears being left behind by BigTech ](https://www.ft.com/content/6f69433a-40f0-11ea-a047-eae9bd51ceba),Betont die dominante Rolle amerikanischer Unternehmen & das Fehlen von Venture Capital in Deutschland.,07.04.20
FT,2020,Artikel,[Letter: Mittelstand companies just get on with things ](https://www.ft.com/content/6d4d719e-442d-11ea-a43a-c4b328d9061c),Beschäftigt sich mit der voranschreitenden Digitalisierung von traditionsreichen dt. Industrieunternehmen.,07.04.20
FT,2020,Artikel,[Transcript: ‘Europe is no longer at the centre of world events’ ](https://www.ft.com/content/00f9135c-3840-11ea-a6d3-9a26f8c3cba4),"Fasst ein Interview mit Angela Merkel zusammen, in dem sie die Herausforderungen der Digitalisierung für die dt. Herstellungsindustrie betont & gleichermaßen die Chancen die damit einhergehen. Sie verteidigt ebenfalls die dt. Startup Kultur & fokussiert sich hier auf demografische Probleme.",07.04.20
Handelsblatt,2020,Artikel,[Ein Amazon für Geschäftskunden: Industriekonzerne bauen eigene Plattformen ](https://www.handelsblatt.com/unternehmen/industrie/b2b-markt-ein-amazon-fuer-geschaeftskunden-industriekonzerne-bauen-eigene-plattformen/25528982.html?_lrsc=c38c2650-f3c2-4fcd-aebb-7caf4824c306&ticket=ST-586167-tBhPCK9q5nfh3dceuACT-ap1),"Fokussiert sich auf den Aspekt der Traditionen innerhalb der Stahl-, sowie Chemiebranche & beschreibt die Gründung von XOM Materials.",07.04.20
Handels_ blatt Tagung 2019,2019,Programm,Plattform Ökonomie - Digitale Plattformen schaffen neue Marktstrukturen http://work.euroforum.de/data/pdf/P1200813.pdf,Zeigt verschiedene Konzentrationen der deutschen Plattformwirtschaft auf.,07.04.20
Hannover Messe,2020,Website,[Hannover Messe: Home of Industrial Pioneers ](https://www.hannovermesse.de/de/),"Stellt neben zahlreichen Ausstellern, industrie relevante Beiträge zur Verfügung.",07.04.20
IW (Köln),2018,Bericht,[Digitale Plattformen – noch ein B2C-Geschäft ](https://www.iwkoeln.de/fileadmin/user_upload/Studien/Kurzberichte/PDF/2018/IW-Kurzbericht_2018_56_Digitale_Plattformen.pdf),Setzt den Fokus auf die Rolle der Nutzer von Online-Plattformen.,07.04.20
IW (Köln),2018,Bericht,[The Economics of Platforms ](https://www.iwkoeln.de/fileadmin/user_upload/Studien/IW-Analysen/PDF/2018/Analyse123-Digitale-Plattformen.pdf),Analysiert die Gründe warum Plattformen so erfolgreich sind & welche Business-Modelle hinter Plattformen stehen.,07.04.20
KfW,2019,Studie,[KfW-Mittelstandspanel 2019 ](https://www.kfw.de/PDF/Download-Center/Konzernthemen/Research/PDF-Dokumente-KfW-Mittelstandspanel/KfW-Mittelstandspanel-2019.pdf),Macht die Abhängigkeit des Mittelstands gegenüber der fortschreitenden Rolle des E-Commerce deutlich & untermauert diese mit Umsatzzahlen.,07.04.20
"Kollmann, T. & Schmidt, H.",2016,Buch,[Deutschland 4.0 - Wie die Digitale Transformation gelingt ](https://www.springer.com/de/book/9783658119812),"Beschäftigt sich mit der übergreifenden Digitalisierung der dt. Wirtschaft, dennoch spielen Plattformen als Innovationstreiber eine große Rolle.",07.04.20
Marke 41: das neue Journal für Marketing,2019,Artikel,[Der deutsche Mittelstand – Aufbruch in das digitale Zeitalter? ](https://publikationen.reutlingen-university.de/frontdoor/index/index/docId/2278),Es werden besonders die bisherigen Schwachstellen des Mittelstandes identifiziert und Lösungsansätze diskutiert.,07.04.20
MIT Sloan,2020,Artikel,"[The Future of Platforms: Platforms power the world’s most valuable companies, but it will get harder and harder to capture and monetize their disruptive potential. ](https://sloanreview.mit.edu/article/the-future-of-platforms/)",Betont die umfassende Position von bereits etablierten Online Plattformen. Gleichzeitig werden aber auch die Herausforderungen und Voraussetzungen von erfolgreichen Plattformen präsentiert.,07.04.20
MIT Sloan,2019,Artikel,[Three Lessons From Germany’s Platform Economy ](https://sloanreview.mit.edu/article/three-lessons-from-germanys-platform-economy/),Präsentiert den Status-Quo und Fokus der deutschen B2B Plattform- ökonomie.,07.04.20
MIT Sloan,2017,Artikel,"[Why Some Platforms Are Better Than Others: Although successful digital platforms can deliver remarkable value to users and riches to entrepreneurs and investors, in some sectors it isn’t clear that anyone will turn a profit. ](https://sloanreview.mit.edu/article/why-some-platforms-are-better-than-others/)",Präsentiert die Stärken und Schwächen von Plattformen in unterschiedlichen Bereichen.,07.04.20
Noah Conference Berlin,2020,Konferenz,[Connecting European Champions and Challengers ](https://www.noah-conference.com/noah-berlin-conference-2020/),Europäische Tech-UnternehmerInnen Konferenz mit einem Fokus auf Plattformunternehmen.,07.04.20
Platform Economy Summit,2020,Konferenz,[Accelerating Economic Recovery with Platform & Ecosystem Strategies ](https://informaconnect.com/platform-economy-summit/),Im Rahmen des Platform Economy Summits diskutieren ExpertInnen Themen der Plattform- ökonomie & es werden u.a. Erfolgreiche Plattformmodelle präsentiert.,07.04.20
"Riemensperger, F. & Falk, S.",2019,Buch,[Titelverteidiger Wie die deutsche Industrie ihre Spitzenposition auch im digitalen Zeitalter sichert ](https://www.m-vg.de/redline/shop/article/15782-titelverteidiger/),"Analysiert die Digitalisierung der dt. Industrie & arbeitet die Notwendigkeit heraus, dass die dt. Industrie sich den neuen Technologien öffnet.",07.04.20
WEF,2020,Paper,[Share to Gain: Unlocking Data Value in Manufacturing ](https://www.weforum.org/whitepapers/share-to-gain-unlocking-data-value-in-manufacturing),Konzentriert sich auf Plattformen als erfolgreiche Data-Sharing Technologie und bisher existierende Manufacturing Beispiele in diesem Kontext.,07.04.20