Short form video science communication inspiration,,
Name,Category (niche),Link to social media
crypto_phd_couple,Behind-the-science,https://www.tiktok.com/@crypto_phd_couple
sallyrooneytunes,Behind-the-science,https://www.tiktok.com/@sallyrooneytunes
kertutenso,Behind-the-science,https://www.tiktok.com/@kertutenso
thewritingandtenurecoach,Behind-the-science,https://www.tiktok.com/@thewritingandtenurecoach
dieprofessorin,Behind-the-science,https://www.tiktok.com/@dieprofessorin
professorbren,Behind-the-science,https://www.tiktok.com/@professorbren
science.bae,Behind-the-science,https://www.tiktok.com/@science.bae
drdre4000,Behind-the-science,https://www.tiktok.com/@drdre4000
diewissenschaftlerin,Behind-the-science,https://www.tiktok.com/@diewissenschaftlerin
aplantbiologist,Behind-the-science,https://www.tiktok.com/@aplantbiologist
thepoliticaleconomist,Behind-the-science,https://www.tiktok.com/@thepoliticaleconomist
musclesandmemories,Behind-the-science,https://www.tiktok.com/@musclesandmemories
Tofology,Climate science,https://www.tiktok.com/@tofology
"
thegarbagequeen (Alaina Wood)",Climate science,https://www.tiktok.com/@thegarbagequeen
carissaandclimate,Climate science,https://www.tiktok.com/@carissaandclimate
liloceanpaige,Climate science,https://www.tiktok.com/@liloceanpaige
julianphilosophy,Philosophy,https://www.tiktok.com/@julianphilosophy
overthink_pod,Philosophy,https://www.tiktok.com/@overthink_pod
theoryphilosophy,Philosophy,https://www.tiktok.com/@theoryphilosophy
coolchemistryguy,STEM,https://www.tiktok.com/@coolchemistryguy
lab_shenanigans,STEM,https://www.tiktok.com/@lab_shenanigans
neildegrassetyson,STEM,https://www.tiktok.com/@neildegrassetyson
bill nye,STEM,https://www.tiktok.com/@billnye
onlinekyne ,STEM,https://www.tiktok.com/@onlinekyne
instituteofhumananatomy,STEM,https://www.tiktok.com/@instituteofhumananatomy
mags4science,STEM,https://www.tiktok.com/@mags4science
rhodeslovesneuroscience,STEM,https://www.tiktok.com/@rhodeslovesneuroscience
askaneuroscientist,STEM,https://www.tiktok.com/@askaneuroscientist
renegadescienceteacher,STEM,https://www.tiktok.com/@renegadescienceteacher
distilledscience,STEM,https://www.tiktok.com/@distilledscience
astroathens,STEM,https://www.tiktok.com/@astroathens
techience,STEM,https://www.tiktok.com/@techience
chemteacherphil,STEM,https://www.tiktok.com/@chemteacherphil
thephysicshouse,STEM,https://www.tiktok.com/@thephysicshouse
styro_pyro,STEM,https://www.tiktok.com/@styro_pyro
interestingengineering,STEM,https://www.tiktok.com/@interestingengineering
mathswithmisschang,STEM,https://www.tiktok.com/@mathswithmisschang
nilered,STEM,https://www.tiktok.com/@nilered
theplantprof,STEM,https://www.tiktok.com/@theplantprof
marcbreathes,STEM,https://www.tiktok.com/@marcbreathes
mamadoctorjones,STEM,https://www.tiktok.com/@mamadoctorjones
drsarahballantyne,STEM,https://www.tiktok.com/@drsarahballantyne
dr_idz,STEM,https://www.tiktok.com/@dr_idz
theplantslant,STEM,https://www.tiktok.com/@theplantslant
justice.dodson,STEM,https://www.tiktok.com/@justice.dodson
closeintel,STEM,https://www.tiktok.com/@closeintel
btosteopathy,STEM,https://www.tiktok.com/@btosteopathy
inbedwithdanielle,STEM,https://www.tiktok.com/@inbedwithdanielle
sophia smith galer,Social sciences,https://www.tiktok.com/@sophiasmithgaler
nopebrigade0,Social sciences,https://www.tiktok.com/@nopebrigade0
phdrachel,Social sciences,https://www.tiktok.com/@phdrachel
naia_papaia,Social sciences,https://www.tiktok.com/@naia_papaia
dowdarrow,Social sciences,https://www.tiktok.com/@dowdarrow
drjulie,Social sciences,https://www.tiktok.com/@drjulie
professorneil,Social sciences,https://www.tiktok.com/@professorneil
esme.lousiee,Social sciences,https://www.tiktok.com/@esme.louisee
archthot,Social sciences,https://www.tiktok.com/@archthot
michael_mezz,Social sciences,https://www.tiktok.com/@michael_mezz
kndlpark,Social sciences,https://www.tiktok.com/@kndlpark
speechprof,Social sciences,https://www.tiktok.com/@speechprof
Psychupyourlife,Social sciences,https://www.tiktok.com/@psychupyourlife
gacruz_phd,Social sciences,https://www.tiktok.com/@gacruz_phd
rachelvanderbiltphd,Social sciences,https://www.tiktok.com/@rachelvanderbiltphd
kaylascan,Social sciences,https://www.tiktok.com/@kylascan
drjess21,Technology and internet studies,https://www.tiktok.com/@drjess21
questionable_tech,Technology and internet studies,https://www.tiktok.com/@questionable.tech
professorcasey,Technology and internet studies,https://www.tiktok.com/@professorcasey
julesterpak,Technology and internet studies,https://www.tiktok.com/@julesterpak